duplicate_group_id,duplicate_group_size,record_id,organization_facility_name,organization_street_name,organization_city_name,organization_state,organization_zip_code,organization_mailing_address,organization_mailing_state,organization_mailing_zip_code,duplicate_reason,completeness_score,recommended_primary_record,review_needed
81,2,145,TEXAS HEALTH SEAY BEHAVIORAL HEALTH HOSPITAL,6110 W PARKER RD,PLANO,TX,75093,,,,Name,7.1,YES,YES
81,2,5015,TEXAS HEALTH SEAY BEHAVIORAL HEALTH CENTER PLANO,6110 West Parker Road,Plano,TX,75093,,,,Name,6.8,NO,YES
107,2,182,VETERANS AFFAIRS NORTH TEXAS HEALTH CARE SYSTEM,4500 S LANCASTER RD BLDG 2 STE 3C-400,DALLAS,TX,75216,,,,Name,8.2,YES,YES
107,2,2348,VETERANS AFFAIRS NORTH TEXAS HEALTH CARE SYSTEM DALLAS,4500 S LANCASTER RD,DALLAS,TX,75251,,,75216,Name,8,NO,YES
109,2,1669,INTEGRATED PSYCHOTHERAPEUTIC SERVICES OF AMERICA,2121 MAIN STREET SUITE 100,DALLAS,TX,75201,,,,Name,8,YES,YES
109,2,184,INTEGRATED PSYCHOTHERAPEUTIC SERVICES,2121 MAIN ST,DALLAS,TX,75201,,,,Name,7.8,NO,YES
110,4,1691,ORIGINS COUNSELING LLC,12870 HILLCREST RD STE H226,DALLAS,TX,75230,4001 MAPLE AVENUE SUITE 300,TX,75219,Physical Address,9.45,YES,YES
110,4,237,MATT SLOAN MD PLLC,12800 HILLCREST RD STE A123,DALLAS,TX,75230,,,,Physical Address,6.9,NO,YES
110,4,185,GERIATRIC PSYCHIATRY ASSOCIATES,12700 HILLCREST RD STE 260,DALLAS,TX,75230,,,,Physical Address,6.6,NO,YES
110,4,310,BEST SERVICE PAIN AND REHAB,12870 HILLCREST RD STE 200,DALLAS,TX,75230,,,,Physical Address,6.3,NO,YES
120,2,202,METHODIST CHARLTON MEDICAL CENTER,3534 N HAMPTON RD,DALLAS,TX,75212,,,,Name,6.3,YES,YES
120,2,273,METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND,DALLAS,TX,75237,,,,Name,5.75,NO,YES
123,3,3035,ASSOCIATIONS OF PERSONS AFFECTED BY ADDICTION,3116 MARTIN LUTHER KING JR BLVD,DALLAS,TX,75215,,,75215,Physical Address,10.65,YES,YES
